"Datetime","Tweet.Id","File","Text","Username","Location"
"2019-06-25 14:30:18+00:00",1143526839601762304,"health-tweets.csv","Our Endoscopy Team in Altnagelvin Hospital took part in the @CR_UK #RelayForLife over the weekend in St Columb's Park to raise funds for and awareness of bowel cancer. To date the team have raised £6,160! https://t.co/TvAibuZCoY","WesternHSCTrust",""
"2015-04-15 11:32:39+00:00",588303919496957952,"health-tweets.csv","April is Bowel Cancer Awareness Month. Spot the signs / Reduce the risk http://t.co/uC5BrYtwyt http://t.co/ZeCvHR4dJG","WesternHSCTrust",""
"2022-04-21 10:01:01+00:00",1517080961426599936,"health-tweets.csv","54% of bowel cancers could be prevented by healthier lifestyles:

Eat more fibre 🥖🥕
Have more meat-free days 🚫
Stop smoking 🚭
Watch your weight ⚖️
Stay active 🤸‍♀

This Mexican Bean Burrito recipe from @safefood_net ticks the boxes 👇https://t.co/W5vjSIqlfa","NHSCTrust","Northern Ireland"
"2021-05-30 17:00:29+00:00",1399048078737485824,"health-tweets.csv","Bowel Cancer UK is hosting a free virtual information and support event for anyone effected by bowel cancer 👇

To register or to find out more visit: https://t.co/UdeKCgZsuR or email supportevents@bowelcanceruk.org.uk https://t.co/1wZQd8YrX7","NHSCTrust","Northern Ireland"
"2021-04-28 16:00:38+00:00",1387436602977292288,"health-tweets.csv","Every 15 minutes somebody is diagnosed with bowel cancer in the UK. It can affect anybody, regardless of their age or background. It's treatable and curable especially if diagnosed early. 

If you have any of the symptoms below you should contact your GP.

@bowelcanceruk https://t.co/MFASwv78xh","NHSCTrust","Northern Ireland"
"2014-05-29 15:44:33+00:00",472040808070512640,"health-tweets.csv","The Bowel Cancer Screening Focus Group in the Northern Trust have raised £3939.03 for Bowel Cancer UK N.I http://t.co/R74Aca4rBQ","NHSCTrust","Northern Ireland"
"2014-04-16 13:46:38+00:00",456428455815442432,"health-tweets.csv","Bowel Cancer Awareness month http://t.co/wCnfVFZjGW","NHSCTrust","Northern Ireland"
"2022-04-10 09:29:01+00:00",1.513086641296e+18,"health-tweets.csv","Bowel cancer screening could save your life 💙

People aged 60-74 are invited to take part in screening every two years.

The earlier bowel cancer is caught, the easier it is to treat. 

#BowelCancerAwarenessMonth https://t.co/A44Sedhtxv","setrust","Northern Ireland"
"2021-04-14 10:04:01+00:00",1382273430372954112,"health-tweets.csv","Anyone can suffer from bowel cancer, but there are those who are at higher risk than others 👇 

REMEMBER ⚠️ 
The earlier bowel cancer is diagnosed the easier it is to treat.

#BowelCancerAwareness https://t.co/HvoeziYgJF","setrust","Northern Ireland"
"2021-04-09 16:38:02+00:00",1380560646270500864,"health-tweets.csv","As part of Bowel Cancer Awareness month, it is important to highlight the importance of bowel screening ⚠️ 

Bowel screening is able to detect cancer that is at an early stage - the earlier bowel cancer is diagnosed it is easier to treat. https://t.co/Z2lPiUnt7v","setrust","Northern Ireland"
"2021-04-01 12:27:01+00:00",1377598374820610048,"health-tweets.csv","The start of April marks the beginning of Bowel Cancer Awareness Month!

Knowing the symptoms of bowel cancer could save your life ⚠️ 

If you have any of these symptoms, arrange to see your doctor 👇 https://t.co/WIOnCGv8xO","setrust","Northern Ireland"
